broker,sequence id
Charles Schwab,29
Edward Jones,29
Ameriprise Financial,29
TD Ameritrade,29
Raymond James Financial,29
AXA Advisors,29
LPL Financial,29
National Planning Corporation,29
Wells Fargo Advisors,64
Wells Fargo Advisors,65
Fidelity,29
Charles Schwab,30
Edward Jones,30
TD Ameritrade,30
Raymond James Financial,30
AXA Advisors,30
LPL Financial,30
National Planning Corporation,30
Wells Fargo Advisors,66
Wells Fargo Advisors,67
Fidelity,30
Charles Schwab,31
Edward Jones,31
Ameriprise Financial,31
TD Ameritrade,31
Raymond James Financial,31
AXA Advisors,31
LPL Financial,31
National Planning Corporation,31
Wells Fargo Advisors,68
LPL Financial,32
Fidelity,31
Fidelity,32
Charles Schwab,32
Ameriprise Financial,32
TD Ameritrade,32
Raymond James Financial,32
AXA Advisors,32
National Planning Corporation,32
Wells Fargo Advisors,69
Charles Schwab,33
Edward Jones,33
TD Ameritrade,33
Raymond James Financial,33
AXA Advisors,33
National Planning Corporation,33
Wells Fargo Advisors,70
Charles Schwab,34
Edward Jones,34
Ameriprise Financial,34
TD Ameritrade,34
Raymond James Financial,34
AXA Advisors,34
National Planning Corporation,34
Wells Fargo Advisors,71
Fidelity,33
Wells Fargo Advisors,72
Wells Fargo Advisors,73
Wells Fargo Advisors,75
Wells Fargo Advisors,76
Wells Fargo Advisors,77
Wells Fargo Advisors,78
Fidelity,34
Charles Schwab,35
Edward Jones,35
Ameriprise Financial,35
TD Ameritrade,35
Raymond James Financial,35
AXA Advisors,35
LPL Financial,35
National Planning Corporation,35
Wells Fargo Advisors,79
Fidelity,35
Charles Schwab,36
Edward Jones,36
Ameriprise Financial,36
TD Ameritrade,36
Raymond James Financial,36
AXA Advisors,36
LPL Financial,36
National Planning Corporation,36
Fidelity,36
Charles Schwab,37
Edward Jones,37
Ameriprise Financial,37
TD Ameritrade,37
Raymond James Financial,37
AXA Advisors,37
LPL Financial,37
Wells Fargo Advisors,81
Fidelity,37
Charles Schwab,38
Edward Jones,38
Ameriprise Financial,38
TD Ameritrade,38
Raymond James Financial,38
AXA Advisors,38
LPL Financial,38
National Planning Corporation,38
Wells Fargo Advisors,82
Fidelity,38
Charles Schwab,39
Edward Jones,39
Ameriprise Financial,39
TD Ameritrade,39
AXA Advisors,39
LPL Financial,39
National Planning Corporation,39
Wells Fargo Advisors,83
Fidelity,39
Charles Schwab,40
Edward Jones,40
Ameriprise Financial,40
TD Ameritrade,40
Raymond James Financial,40
AXA Advisors,40
LPL Financial,40
National Planning Corporation,40
Wells Fargo Advisors,84
Fidelity,40
Charles Schwab,41
Raymond James Financial,41
TD Ameritrade,41
Ameriprise Financial,41
Edward Jones,41
National Planning Corporation,41
LPL Financial,41
AXA Advisors,41
Waddell & Reed,1
Fidelity,41
Edward Jones,42
TD Ameritrade,42
Raymond James Financial,42
AXA Advisors,42
Charles Schwab,42
Ameriprise Financial,42
National Planning Corporation,42
Wells Fargo Advisors,86
Wells Fargo Advisors,87
Ameriprise Financial,43
AXA Advisors,43
National Planning Corporation,43
LPL Financial,43
Raymond James Financial,43
TD Ameritrade,43
Edward Jones,43
Charles Schwab,43
Fidelity,42
Waddell & Reed,2
Raymond James Financial,44
AXA Advisors,44
TD Ameritrade,44
Wells Fargo Advisors,88
Edward Jones,44
Charles Schwab,44
Fidelity,43
LPL Financial,44
National Planning Corporation,44
Ameriprise Financial,45
Edward Jones,45
Charles Schwab,45
Fidelity,44
Wells Fargo Advisors,89
National Planning Corporation,45
LPL Financial,45
AXA Advisors,45
Raymond James Financial,45
TD Ameritrade,45
Wells Fargo Advisors,90
Raymond James Financial,46
TD Ameritrade,46
Ameriprise Financial,46
Edward Jones,46
Charles Schwab,46
Fidelity,45
National Planning Corporation,46
LPL Financial,46
Charles Schwab,47
Ameriprise Financial,47
Raymond James Financial,47
TD Ameritrade,47
Edward Jones,47
Fidelity,46
National Planning Corporation,47
LPL Financial,47
Wells Fargo Advisors,91
Wells Fargo Advisors,92
Edward Jones,48
Raymond James Financial,48
Ameriprise Financial,48
National Planning Corporation,48
LPL Financial,48
AXA Advisors,48
Charles Schwab,48
TD Ameritrade,48
Fidelity,47
Wells Fargo Advisors,93
Wells Fargo Advisors,94
LPL Financial,49
National Planning Corporation,49
Fidelity,48
Raymond James Financial,49
TD Ameritrade,49
Ameriprise Financial,49
Charles Schwab,49
AXA Advisors,49
Ameriprise Financial,50
Raymond James Financial,50
LPL Financial,50
National Planning Corporation,50
Fidelity,49
Charles Schwab,50
AXA Advisors,50
Wells Fargo Advisors,95
Wells Fargo Advisors,96
Wells Fargo Advisors,97
Wells Fargo Advisors,98
Fidelity,50
Charles Schwab,51
Wells Fargo Advisors,99
Edward Jones,50
Wells Fargo Advisors,100
